role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Curator,50000,yr,1999,175000,yr,P,2019,35,male,white,PhD
Designer,35000,yr,2018,38000,yr,P,2019,2,female,,BA required MA preferred
other,46000,yr,2015,55000,yr,P,2019,4,,,BA required MA preferred
Communications,43000,yr,2014,57000,yr,P,2019,8,,,
Director,90000,yr,2015,95000,yr,,2019,15,female,,
Curator,39000,yr,2017,41000,yr,P,2019,7,,,MA
Coordinator,40000,yr,2019,40700,yr,P,2019,2,,,
Relations,48000,yr,2016,55000,yr,P,2019,7,male,latino,BA
Coordinator,35000,yr,2019,35000,yr,,2019,2,female,white,
Communications,12,hr,2017,13.25,hr,H,2019,7,male,white,HS
Designer,45000,yr,2019,45000,yr,P,2019,1,female,latino,BA
Conservator,13.5,hr,2019,13.5,hr,H,2019,2,female,white,BA
Registrar,55000,yr,2019,55000,yr,P,2019,6,,,MA
Director,41000,yr,2003,47526,yr,P,2019,26,female,white,BA
Coordinator,41000,yr,2014,57000,yr,P,2019,7,other,,MA
Director,32000,yr,2011,56000,yr,P,2019,10,female,,MA
Manager,35000,yr,2015,50000,yr,P,2019,10,female,white,BA required MA preferred
Assistant Curator,67000,yr,2016,77000,yr,P,2019,10,,,PhD
Librarian,52000,yr,2011,75000,yr,P,2019,9,,,MA
Registrar,65000,yr,2017,65000,yr,P,2019,10,,,
Assistant Curator,25,hr,2017,22,hr,HP,2019,3,female,white,MA
Coordinator,18.5,hr,2019,,,H,2019,2,female,white,MA
Director,,,,62000,yr,P,2019,5,female,white,
Assistant Curator,60000,yr,2019,60000,yr,P,2019,14,female,,PhD
Assistant Curator,60000,yr,2019,60000,yr,,2019,8,female,,
Curator,45000,yr,2012,62000,yr,P,2019,10,female,white,MA
Director,90000,yr,2010,110000,yr,P,2019,25,,,MA
Visitor Experience,50000,yr,2017,51000,yr,,2019,10,female,white,BA
Assistant Curator,40000,yr,2018,40000,yr,P,2019,6,female,white,MA
Registrar,50000,yr,2010,62000,yr,P,2019,16,female,white,MA
Registrar,40000,yr,2016,40500,yr,,2019,20,,,MA
Assistant Curator,56000,yr,2019,,,P,2019,,,,PhD
Director,50000,yr,2017,54000,yr,,2019,20,female,white,MA
Director,46000,yr,2014,52000,yr,P,2019,9,male,white,MA
Curator,63036,yr,2015,63036,yr,P,2019,12,female,white,MA
Librarian,55000,yr,2015,62000,yr,P,2019,14,female,white,MLIS
Director,45326,yr,2012,59741,yr,P,2019,8,female,,MA
Archivist,55000,yr,,55000,yr,C,2012,,female,white,MLIS
Director,107000,yr,,119000,yr,P,2019,25,,,MA
Assistant,23.77,hr,,28.08,hr,HP,2017,,female,white,
Visitor Experience,13,hr,2018,13.5,hr,HC,2019,,female,white,BA
Communications,63000,yr,,65000,yr,P,2019,4,,,
Curator,90000,yr,2013,110000,yr,P,2019,12,male,white,PhD
Coordinator,55000,yr,2017,56100,yr,C,2019,20,,,MA
Curator,50000,yr,2016,54500,yr,P,2019,9,female,white,BA
other,15,hr,2018,15,hr,H,2019,4,female,white,BA
Director,91000,yr,2014,125000,yr,P,2019,18,male,latino,
Archivist,32,hr,2018,30,hr,HP,2019,5,female,white,MA
Curator,56000,yr,2017,58000,yr,P Full Time,2019,3,,,
Manager,12444,yr,2018,13464,yr,H,2019,1,female,white,BA
Manager,35000,yr,2016,37000,yr,,2018,4,female,,BA
Director,50000,yr,2019,50000,yr,P,2019,3,female,white,MA
Archivist,55000,yr,2016,56610,yr,P,2019,7,female,white,MLIS
Manager,23831,yr,2018,24276,yr,P,2019,3,female,white,
Manager,26000,yr,2015,27000,yr,H,2018,5,female,white,MA
Director,40000,yr,2018,41170,yr,,2019,4,female,latino,MA
Assistant Director,75000,yr,2019,75000,yr,P,2019,19,female,white,No degree
Consultancy,40000,yr,2016,52500,yr,P,2019,7,female,latino,BA
Research,32000,yr,,380000,yr,P,2017,,female,,
Director,22000,yr,2011,57500,yr,,2019,19,female,,
Educator,30,hr,2017,30,hr,H,2019,20,female,white,No degree
Director,85000,yr,2004,105000,yr,,2019,30,female,white,MA
