role,starting_salary,starting_salary_hr_yr,year_starting_salary,ending_salary 1,ending_salary_hr_yr,Hourly(H)_Permanent(P)_Contingent(C),year_ending_salary,years_experience,gender,ethnicity,degrees_required
Curator,50000.0,yr,1999.0,175000.0,yr,P,2019.0,35.0,male,white,PhD
Designer,35000.0,yr,2018.0,38000.0,yr,P,2019.0,2.0,female,N,BA required MA preferred
other,46000.0,yr,2015.0,55000.0,yr,P,2019.0,4.0,n/a,N,BA required MA preferred
Communications,43000.0,yr,2014.0,57000.0,yr,P,2019.0,8.0,n/a,N,N
Director,90000.0,yr,2015.0,95000.0,yr,n/a,2019.0,15.0,female,N,N
Curator,39000.0,yr,2017.0,41000.0,yr,P,2019.0,7.0,n/a,N,MA
Coordinator,40000.0,yr,2019.0,40700.0,yr,P,2019.0,2.0,n/a,N,N
Relations,48000.0,yr,2016.0,55000.0,yr,P,2019.0,7.0,male,latino,BA
Coordinator,35000.0,yr,2019.0,35000.0,yr,n/a,2019.0,2.0,female,white,N
Communications,12.0,hr,2017.0,13.25,hr,H,2019.0,7.0,male,white,HS
Designer,45000.0,yr,2019.0,45000.0,yr,P,2019.0,1.0,female,latino,BA
Conservator,13.5,hr,2019.0,13.5,hr,H,2019.0,2.0,female,white,BA
Registrar,55000.0,yr,2019.0,55000.0,yr,P,2019.0,6.0,n/a,N,MA
Director,41000.0,yr,2003.0,47526.0,yr,P,2019.0,26.0,female,white,BA
Coordinator,41000.0,yr,2014.0,57000.0,yr,P,2019.0,7.0,other,N,MA
Director,32000.0,yr,2011.0,56000.0,yr,P,2019.0,10.0,female,N,MA
Manager,35000.0,yr,2015.0,50000.0,yr,P,2019.0,10.0,female,white,BA required MA preferred
Assistant Curator,67000.0,yr,2016.0,77000.0,yr,P,2019.0,10.0,n/a,N,PhD
Librarian,52000.0,yr,2011.0,75000.0,yr,P,2019.0,9,n/a,N,MA
Registrar,65000.0,yr,2017.0,65000.0,yr,P,2019.0,10.0,n/a,N,N
Assistant Curator,25.0,hr,2017.0,22.0,hr,"H,P",2019.0,3.0,female,white,MA
Coordinator,18.5,hr,2019.0,,N,H,2019.0,2.0,female,white,MA
Director,,,N,62000.0,yr,P,2019.0,5.0,female,white,N
Assistant Curator,60000.0,yr,2019.0,60000.0,yr,P,2019.0,14.0,female,N,PhD
Assistant Curator,60000.0,yr,2019.0,60000.0,yr,n/a,2019.0,8.0,female,N,N
Curator,45000.0,yr,2012.0,62000.0,yr,P,2019.0,10.0,female,white,MA
Director,90000.0,yr,2010.0,110000.0,yr,P,2019.0,25.0,n/a,N,MA
Visitor Experience,50000.0,yr,2017.0,51000.0,yr,n/a,2019.0,10.0,female,white,BA
Assistant Curator,40000.0,yr,2018.0,40000.0,yr,P,2019.0,6.0,female,white,MA
Registrar,50000.0,yr,2010.0,62000.0,yr,P,2019.0,16.0,female,white,MA
Registrar,40000.0,yr,2016.0,40500.0,yr,n/a,2019.0,20.0,n/a,N,MA
Assistant Curator,56000.0,yr,2019.0,,N,P,2019.0,n/a,n/a,N,PhD
Director,50000.0,yr,2017.0,54000.0,yr,n/a,2019.0,20.0,female,white,MA
Director,46000.0,yr,2014.0,52000.0,yr,P,2019.0,9.0,male,white,MA
Curator,63036.0,yr,2015.0,63036.0,yr,P,2019.0,12.0,female,white,MA
Librarian,55000.0,yr,2015.0,62000.0,yr,P,2019.0,14.0,female,white,MLIS
Director,45326.0,yr,2012.0,59741.0,yr,P,2019.0,8.0,female,N,MA
Archivist,55000.0,yr,N,55000.0,yr,C,2012.0,,female,white,MLIS
Director,107000.0,yr,N,119000.0,yr,P,2019.0,25.0,n/a,N,MA
Assistant,23.77,hr,N,28.08,hr,"H,P",2017.0,,female,white,N
Visitor Experience,13.0,hr,2018.0,13.5,hr,"H,C",2019.0,,female,white,BA
Communications,63000.0,yr,N,65000.0,yr,P,2019.0,4.0,n/a,N,N
Curator,90000.0,yr,2013.0,110000.0,yr,P,2019.0,12.0,male,white,PhD
Coordinator,55000.0,yr,2017.0,56100.0,yr,C,2019.0,20.0,n/a,N,MA
Curator,50000.0,yr,2016.0,54500.0,yr,P,2019.0,9.0,female,white,BA
other,15.0,hr,2018.0,15.0,hr,H,2019.0,4.0,female,white,BA
Director,91000.0,yr,2014.0,125000.0,yr,P,2019.0,18.0,male,latino,N
Archivist,32.0,hr,2018.0,30.0,hr,"H,P",2019.0,5.0,female,white,MA
Curator,56000.0,yr,2017.0,58000.0,yr,P Full Time,2019.0,3.0,n/a,N,N
Manager,12444.0,yr,2018.0,13464.0,yr,H,2019.0,1.0,female,white,BA
Manager,35000.0,yr,2016.0,37000.0,yr,n/a,2018.0,4.0,female,N,BA
Director,50000.0,yr,2019.0,50000.0,yr,P,2019.0,3.0,female,white,MA
Archivist,55000.0,yr,2016.0,56610.0,yr,P,2019.0,7.0,female,white,MLIS
Manager,23831.0,yr,2018.0,24276.0,yr,P,2019.0,3,female,white,N
Manager,26000.0,yr,2015.0,27000.0,yr,H,2018.0,5.0,female,white,MA
Director,40000.0,yr,2018.0,41170.0,yr,n/a,2019.0,4.0,female,latino,MA
Assistant Director,75000.0,yr,2019.0,75000.0,yr,P,2019.0,19.0,female,white,No degree
Consultancy,40000.0,yr,2016.0,52500.0,yr,P,2019.0,7.0,female,latino,BA
Research,32000.0,yr,N,380000.0,yr,P,2017.0,,female,N,N
Director,22000.0,yr,2011.0,57500.0,yr,n/a,2019.0,19.0,female,N,N
Educator,30.0,hr,2017.0,30.0,hr,H,2019.0,20.0,female,white,No degree
Director,85000.0,yr,2004.0,105000.0,yr,n/a,2019.0,30.0,female,white,MA
Manager,14.0,hr,2018.0,30000.0,yr,P,2019.0,4.0,female,white,BA
Director,38000.0,yr,2017.0,40000.0,yr,P,2019.0,11.0,n/a,N,MA
Coordinator,55000.0,yr,2018.0,55000.0,yr,P,2019.0,3.0,female,white,MA
Designer,25.0,hr,2016.0,32.0,hr,P,2019.0,4.0,male,N,No degree
Director,28500.0,yr,2017.0,31000.0,yr,P,2019.0,1.0,male,white,BA
Manager,,,N,19000.0,yr,P,2019.0,2.0,n/a,N,N
Gallery Assistant,,,N,,N,H,2019.0,2.0,female,N,N
Gallery Assistant,36000.0,yr,2016.0,50000.0,yr,n/a,2019.0,1.0,female,asian,N
Registrar,44000.0,yr,2017.0,54000.0,yr,P,2019.0,6.0,female,N,BA
Curator,43000.0,yr,2013.0,52000.0,yr,P,2019.0,10.0,n/a,N,MA
Curator,43000.0,yr,2013.0,52000.0,yr,P,2019.0,10.0,n/a,N,MA
other,0.0,yr,N,22.0,hr,H,2019.0,4,female,poc,N
Director,18.0,hr,2018.0,18.0,hr,"H,P",2019.0,7.0,female,white,BA
Registrar,30000.0,yr,2018.0,34000.0,yr,P,2019.0,3.0,female,N,N
Director,200000.0,yr,2018.0,250000.0,yr,P,2019.0,10.0,n/a,N,N
Director,250000.0,yr,2019.0,250000.0,yr,P,2019.0,13.0,n/a,N,N
Director,75000.0,yr,N,130000.0,yr,P,2019.0,7.0,n/a,N,BA
Assistant Director,50000.0,yr,2014.0,90000.0,yr,n/a,2019.0,8.0,female,white,N
Assistant Director,45000.0,yr,2016.0,50000.0,yr,n/a,2019.0,4,n/a,N,N
Archivist,45000.0,yr,2017.0,60000.0,yr,P,2019.0,2,male,white,BA
Communications,17.0,hr,2018.0,17.51,hr,H,2019.0,n/a,female,white,BA
Technical,18.0,hr,2018.0,18.5,hr,H,2019.0,2.0,female,white,BA
other,43000.0,yr,2014.0,50000.0,yr,P,2019.0,5.0,female,white,BA required MA preferred
Relations,72000.0,yr,N,74000.0,yr,n/a,,8.0,female,N,BA
Coordinator,46000.0,yr,2019.0,,N,P,2019.0,1.0,female,mixed,BA
Security,11.0,hr,2016.0,13.0,hr,H,2019.0,4.0,other,white,N
Coordinator,34944.0,yr,2017.0,40040.0,yr,"H,P",2019.0,3.0,female,latino,BA
Assistant Director,35000.0,yr,2018.0,35000.0,yr,P,2019.0,12.0,female,latino,BA required MA preferred
Visitor Experience,14.0,hr,2012.0,33000.0,yr,H,2018.0,6.0,female,latino,None required BA preferred
Designer,13.0,hr,2017.0,13.86,hr,H,2019.0,7.0,female,N,N
Librarian,50000.0,yr,2016.0,70000.0,yr,P,2019.0,10.0,n/a,N,MA
other,35500.0,yr,2018.0,2019.0,yr,C,2019.0,4.0,female,poc,MA
Assistant,30000.0,yr,N,30000.0,yr,P,2019.0,3.0,female,mixed,MA
Coordinator,24500.0,yr,2018.0,26250.0,yr,P Full Time,2019.0,1.0,female,white,BA
Librarian,40000.0,yr,1998.0,80000.0,yr,P,2019.0,30.0,female,white,MA
Assistant,31000.0,yr,2019.0,31000.0,yr,P,2019.0,7.0,female,white,HS
Director,45000.0,yr,2011.0,90000.0,yr,P,2019.0,18.0,female,white,BA
Assistant Curator,35000.0,yr,2018.0,35000.0,yr,C,2019.0,8.0,female,white,BA
Assistant,40000.0,yr,2017.0,40000.0,yr,n/a,2018.0,2.0,female,white,N
Technical,32000.0,yr,2016.0,37500.0,yr,P,2019.0,3.0,female,white,BA
Communications,36000.0,yr,2018.0,37000.0,yr,P,2019.0,2.0,female,white,BA
Education,28000.0,yr,2004.0,42750.0,yr,P,2019.0,17.0,female,white,BA
Manager,35000.0,yr,2016.0,40126.0,yr,P,2019.0,2.0,female,white,BA
Art Handler,22000.0,yr,2017.0,22880.0,yr,H,2019.0,4.0,male,white,BA
Coordinator,24900.0,yr,2017.0,33300.0,yr,H,2019.0,2.0,female,white,BA
Assistant Curator,52500.0,yr,2018.0,54075.0,yr,n/a,2019.0,5.0,female,white,MA
Curator,10.0,hr,2018.0,,N,C,2018.0,5.0,female,white,MA
other,67000.0,yr,N,N,yr,C,2019.0,15.0,female,white,MA
Communications,55000.0,yr,2014.0,62000.0,yr,n/a,2019.0,8.0,female,white,BA
Assistant Registrar,40000.0,yr,2018.0,40000.0,yr,P,2019.0,5.0,female,latino,MA
Assistant Educator,24600.0,yr,2018.0,16.0,hr,P,2019.0,1.0,female,white,BA
