role;starting_salary;starting_salary_hr_yr;year_starting_salary;ending_salary 1;ending_salary_hr_yr;Hourly(H)_Permanent(P)_Contingent(C);year_ending_salary;years_experience;gender;ethnicity;degrees_required
Curator;50000;yr;1999;175000;yr;P;2019;35;male;white;PhD
Designer;35000;yr;2018;38000;yr;P;2019;2;female;N;BA required MA preferred
other;46000;yr;2015;55000;yr;P;2019;4;n/a;N;BA required MA preferred
Communications;43000;yr;2014;57000;yr;P;2019;8;n/a;N;N
Director;90000;yr;2015;95000;yr;n/a;2019;15;female;N;N
Curator;39000;yr;2017;41000;yr;P;2019;7;n/a;N;MA
Coordinator;40000;yr;2019;40700;yr;P;2019;2;n/a;N;N
Relations;48000;yr;2016;55000;yr;P;2019;7;male;latino;BA
Coordinator;35000;yr;2019;35000;yr;n/a;2019;2;female;white;N
Communications;12;hr;2017;13,25;hr;H;2019;7;male;white;HS
Designer;45000;yr;2019;45000;yr;P;2019;1;female;latino;BA
Conservator;13,5;hr;2019;13,5;hr;H;2019;2;female;white;BA
Registrar;55000;yr;2019;55000;yr;P;2019;6;n/a;N;MA
Director;41000;yr;2003;47526;yr;P;2019;26;female;white;BA
Coordinator;41000;yr;2014;57000;yr;P;2019;7;other;N;MA
Director;32000;yr;2011;56000;yr;P;2019;10;female;N;MA
Manager;35000;yr;2015;50000;yr;P;2019;10;female;white;BA required MA preferred
Assistant Curator;67000;yr;2016;77000;yr;P;2019;10;n/a;N;PhD
Librarian;52000;yr;2011;75000;yr;P;2019;9;n/a;N;MA
Registrar;65000;yr;2017;65000;yr;P;2019;10;n/a;N;N
Assistant Curator;25;hr;2017;22;hr;H,P;2019;3;female;white;MA
Coordinator;18,5;hr;2019;;N;H;2019;2;female;white;MA
Director;;;N;62000;yr;P;2019;5;female;white;N
Assistant Curator;60000;yr;2019;60000;yr;P;2019;14;female;N;PhD
Assistant Curator;60000;yr;2019;60000;yr;n/a;2019;8;female;N;N
Curator;45000;yr;2012;62000;yr;P;2019;10;female;white;MA
Director;90000;yr;2010;110000;yr;P;2019;25;n/a;N;MA
Visitor Experience;50000;yr;2017;51000;yr;n/a;2019;10;female;white;BA
Assistant Curator;40000;yr;2018;40000;yr;P;2019;6;female;white;MA
Registrar;50000;yr;2010;62000;yr;P;2019;16;female;white;MA
Registrar;40000;yr;2016;40500;yr;n/a;2019;20;n/a;N;MA
Assistant Curator;56000;yr;2019;;N;P;2019;n/a;n/a;N;PhD
Director;50000;yr;2017;54000;yr;n/a;2019;20;female;white;MA
Director;46000;yr;2014;52000;yr;P;2019;9;male;white;MA
Curator;63036;yr;2015;63036;yr;P;2019;12;female;white;MA
Librarian;55000;yr;2015;62000;yr;P;2019;14;female;white;MLIS
Director;45326;yr;2012;59741;yr;P;2019;8;female;N;MA
Archivist;55000;yr;N;55000;yr;C;2012;;female;white;MLIS
Director;107000;yr;N;119000;yr;P;2019;25;n/a;N;MA
Assistant;23,77;hr;N;28,08;hr;H,P;2017;;female;white;N
Visitor Experience;13;hr;2018;13,5;hr;H,C;2019;;female;white;BA
Communications;63000;yr;N;65000;yr;P;2019;4;n/a;N;N
Curator;90000;yr;2013;110000;yr;P;2019;12;male;white;PhD
Coordinator;55000;yr;2017;56100;yr;C;2019;20;n/a;N;MA
Curator;50000;yr;2016;54500;yr;P;2019;9;female;white;BA
other;15;hr;2018;15;hr;H;2019;4;female;white;BA
Director;91000;yr;2014;125000;yr;P;2019;18;male;latino;N
Archivist;32;hr;2018;30;hr;H,P;2019;5;female;white;MA
Curator;56000;yr;2017;58000;yr;P Full Time;2019;3;n/a;N;N
Manager;12444;yr;2018;13464;yr;H;2019;1;female;white;BA
Manager;35000;yr;2016;37000;yr;n/a;2018;4;female;N;BA
Director;50000;yr;2019;50000;yr;P;2019;3;female;white;MA
Archivist;55000;yr;2016;56610;yr;P;2019;7;female;white;MLIS
Manager;23831;yr;2018;24276;yr;P;2019;3;female;white;N
Manager;26000;yr;2015;27000;yr;H;2018;5;female;white;MA
Director;40000;yr;2018;41170;yr;n/a;2019;4;female;latino;MA
Assistant Director;75000;yr;2019;75000;yr;P;2019;19;female;white;No degree
Consultancy;40000;yr;2016;52500;yr;P;2019;7;female;latino;BA
Research;32000;yr;N;380000;yr;P;2017;;female;N;N
Director;22000;yr;2011;57500;yr;n/a;2019;19;female;N;N
Educator;30;hr;2017;30;hr;H;2019;20;female;white;No degree
Director;85000;yr;2004;105000;yr;n/a;2019;30;female;white;MA
Manager;14;hr;2018;30000;yr;P;2019;4;female;white;BA
Director;38000;yr;2017;40000;yr;P;2019;11;n/a;N;MA
Coordinator;55000;yr;2018;55000;yr;P;2019;3;female;white;MA
Designer;25;hr;2016;32;hr;P;2019;4;male;N;No degree
Director;28500;yr;2017;31000;yr;P;2019;1;male;white;BA
Manager;;;N;19000;yr;P;2019;2;n/a;N;N
Gallery Assistant;;;N;;N;H;2019;2;female;N;N
Gallery Assistant;36000;yr;2016;50000;yr;n/a;2019;1;female;asian;N
Registrar;44000;yr;2017;54000;yr;P;2019;6;female;N;BA
Curator;43000;yr;2013;52000;yr;P;2019;10;n/a;N;MA
Curator;43000;yr;2013;52000;yr;P;2019;10;n/a;N;MA
other;0;yr;N;22;hr;H;2019;4;female;poc;N
Director;18;hr;2018;18;hr;H,P;2019;7;female;white;BA
Registrar;30000;yr;2018;34000;yr;P;2019;3;female;N;N
Director;200000;yr;2018;250000;yr;P;2019;10;n/a;N;N
Director;250000;yr;2019;250000;yr;P;2019;13;n/a;N;N
Director;75000;yr;N;130000;yr;P;2019;7;n/a;N;BA
Assistant Director;50000;yr;2014;90000;yr;n/a;2019;8;female;white;N
Assistant Director;45000;yr;2016;50000;yr;n/a;2019;4;n/a;N;N
Archivist;45000;yr;2017;60000;yr;P;2019;2;male;white;BA
Communications;17;hr;2018;17,51;hr;H;2019;n/a;female;white;BA
Technical;18;hr;2018;18,5;hr;H;2019;2;female;white;BA
other;43000;yr;2014;50000;yr;P;2019;5;female;white;BA required MA preferred
Relations;72000;yr;N;74000;yr;n/a;;8;female;N;BA
Coordinator;46000;yr;2019;;N;P;2019;1;female;mixed;BA
Security;11;hr;2016;13;hr;H;2019;4;other;white;N
Coordinator;34944;yr;2017;40040;yr;H,P;2019;3;female;latino;BA
Assistant Director;35000;yr;2018;35000;yr;P;2019;12;female;latino;BA required MA preferred
Visitor Experience;14;hr;2012;33000;yr;H;2018;6;female;latino;None required BA preferred
Designer;13;hr;2017;13,86;hr;H;2019;7;female;N;N
Librarian;50000;yr;2016;70000;yr;P;2019;10;n/a;N;MA
other;35500;yr;2018;2019;yr;C;2019;4;female;poc;MA
Assistant;30000;yr;N;30000;yr;P;2019;3;female;mixed;MA
Coordinator;24500;yr;2018;26250;yr;P Full Time;2019;1;female;white;BA
Librarian;40000;yr;1998;80000;yr;P;2019;30;female;white;MA
Assistant;31000;yr;2019;31000;yr;P;2019;7;female;white;HS
Director;45000;yr;2011;90000;yr;P;2019;18;female;white;BA
Assistant Curator;35000;yr;2018;35000;yr;C;2019;8;female;white;BA
Assistant;40000;yr;2017;40000;yr;n/a;2018;2;female;white;N
Technical;32000;yr;2016;37500;yr;P;2019;3;female;white;BA
Communications;36000;yr;2018;37000;yr;P;2019;2;female;white;BA
Education;28000;yr;2004;42750;yr;P;2019;17;female;white;BA
Manager;35000;yr;2016;40126;yr;P;2019;2;female;white;BA
Art Handler;22000;yr;2017;22880;yr;H;2019;4;male;white;BA
Coordinator;24900;yr;2017;33300;yr;H;2019;2;female;white;BA
Assistant Curator;52500;yr;2018;54075;yr;n/a;2019;5;female;white;MA
Curator;10;hr;2018;;N;C;2018;5;female;white;MA
other;67000;yr;N;N;yr;C;2019;15;female;white;MA
Communications;55000;yr;2014;62000;yr;n/a;2019;8;female;white;BA
Assistant Registrar;40000;yr;2018;40000;yr;P;2019;5;female;latino;MA
Assistant Educator;24600;yr;2018;16;hr;P;2019;1;female;white;BA
Assistant Registrar;30000;yr;2018;;N;n/a;2019;4;n/a;N;BA
Manager;45000;yr;2014;49000;yr;P;2019;8;female;white;MA
Manager;32000;yr;2017;38000;yr;P;2019;5;female;mixed;BA required MA preferred
Assistant Director;44000;yr;2012;46000;yr;P;2016;8;female;poc;BA
Librarian;11424;yr;2016;11592;yr;H;2019;5;female;white;N
Librarian;15;hr;N;15,45;hr;n/a;2019;5;female;white;BA required MA preferred
Assistant;35000;yr;2017;40000;yr;P;2019;5;female;white;BA
Assistant Registrar;43000;yr;2011;54000;yr;P;2019;15;female;N;N
Editorial;18;hr;2018;18;hr;H,C;2019;3;female;white;MA
Manager;60000;yr;2016;61500;yr;P Full Time;2018;10;female;white;MA
Director;19000;yr;2012;32000;yr;P;2019;7;female;white;BA required MA preferred
Communications;44900;yr;2017;49900;yr;n/a;2019;20;female;white;N
Assistant Curator;50000;yr;2016;62500;yr;P;2019;14;male;white;MA
Assistant Curator;14,85;hr;2011;20.70 per hr;yr;H,P;2016;5;female;white;BA required MA preferred
Curator;;;N;98000;yr;P;2019;39;female;white;PhD
Visitor Experience;18;hr;2017;19;hr;H;2018;2;male;white;None required MA preferred
Manager;16500;yr;2000;42000;yr;P;2019;18;n/a;white;BA
Manager;35000;yr;2009;45000;yr;P;2019;15;n/a;white;MA
Research;25000;yr;2011;40000;yr;P;2014;5;female;white;BA
Director;65000;yr;2019;65000;yr;P;2019;5;female;N;BA
Librarian;;;N;63000;yr;P;2019;9;n/a;N;MLIS
Manager;27000;yr;2009;40000;yr;H,P;2019;9;female;white;MA
Assistant Curator;42098;yr;2017;43533;yr;P;2018;3;female;white;BA
Registrar;44000;yr;2015;50000;yr;P;2019;7;female;white;N
Director;46000;yr;2014;53000;yr;n/a;2019;20;female;white;N
Assistant;18;hr;2016;20,51;hr;H;2019;5;female;white;BA
Manager;26000;yr;2008;55000;yr;P;2019;;n/a;N;N
Conservator;75000;yr;2015;80000;yr;P;2019;14;female;asian;MA
Registrar;21000;yr;2016;33700;yr;H,P;2019;4;male;N;HS
Education;20000;yr;2016;20000;yr;H;2019;4;n/a;N;BA
Curator;14;hr;2017;17,63;hr;H;2019;5;male;white;None required MA preferred
Manager;50000;yr;2017;65000;yr;P;2019;8;female;mixed;BA required MA preferred
Director;110000;yr;2014;120000;yr;P;2019;35;female;white;MA
Assistant Curator;36000;yr;2016;42000;yr;H;;6;n/a;N;MA
Coordinator;40000;yr;2015;40000;yr;P;2017;3;female;white;MA
Visitor Experience;12;hr;2018;13;hr;H;2019;1;female;latino;No degree
Sales;11,5;hr;2018;11,5;hr;H;2019;15;female;white;BA
Assistant Curator;38000;yr;2019;38000;yr;H;2019;3;female;latino;BA required MA preferred
Assistant;55000;yr;2011;65000;yr;P;2016;15;n/a;N;MA
Archivist;40000;yr;2015;67000;yr;P;2017;5;female;N;MA
Manager;46000;yr;2017;51000;yr;P;2019;10;n/a;N;N
Designer;;;N;52000;yr;n/a;2019;14;n/a;N;N
Education;31000;yr;2014;32000;yr;P;;5;n/a;N;N
Education;31000;yr;2014;32000;yr;P;;5;n/a;N;N
Assistant;31,2;hr;2017;33,64;hr;n/a;2019;3;female;N;N
Assistant;9;hr;2018;9;hr;H;2019;0;female;white;HS
Assistant;48500;yr;2018;51530;yr;P;2019;4;female;N;MA
Assistant Educator;37500;yr;2019;37500;yr;P;2019;7;female;N;MA
Visitor Experience;42000;yr;2019;42000;yr;H,P;;3;female;asian;MA
Assistant;37440;yr;2019;37440;yr;P;2019;4;female;white;BA required MA preferred
Coordinator;16,5;hr;2017;16,5;hr;n/a;2019;3;female;white;No degree
Manager;36000;yr;2007;75000;yr;P;2019;18;female;white;No degree
Assistant;;;N;;N;H;;10;female;white;N
Assistant;26500;yr;2019;27500;yr;P;2019;5;female;white;BA
Director;40000;yr;2019;40000;yr;P;2019;6;female;white;No degree
Archivist;43000;yr;2018;43000;yr;H;2019;15;male;white;PhD
Teacher;75;hr;2018;2019;yr;H;2019;6;female;white;MA
Communications;50000;yr;2019;50000;yr;P;2019;4;female;white;N
Director;50000;yr;2014;52500;yr;P;2019;10;female;mixed;N
Manager;40000;yr;2016;42000;yr;P;2019;3;female;white;MA
Manager;53000;yr;N;53000;yr;P Full Time;2019;6;female;white;MA
Director;15000;yr;2017;24000;yr;n/a;n/a;9;female;white;MA
